u,v,a
-60,0,-3.038463752
-60,0.2,-3.138463752
-60,0.4,-3.138284207
-60,0.6,-3.137566027
-60,0.8,-3.183328586
-60,1,-3.103654221
-60,1.2,-3.211665988
-60,1.4,-3.295420477
-60,1.6,-3.294826644
-60,1.8,-3.366541058
-60,2,-3.361188286
-60,2.2,-3.362771675
-60,2.4,-3.398960045
-60,2.6,-3.400780298
-60,2.8,-3.40260055
-60,3,-3.404420802
-60,3.2,-3.364952256
-60,3.4,-3.322596936
-60,3.6,-3.304872682
-60,3.8,-3.298075647
-60,4,-3.30043271
-60,4.2,-3.341761518
-60,4.4,-3.341434823
-60,4.6,-3.341108127
-60,4.8,-3.382089271
-60,5,-3.382335729
-60,5.2,-3.382582187
-60,5.4,-3.382828644
-60,5.6,-3.345446547
-60,5.8,-3.342307646
-60,6,-3.34930047
-60,6.2,-3.35182708
-60,6.4,-3.354353691
-60,6.6,-3.42462353
-60,6.8,-3.424956708
-60,7,-3.425289885
-60,7.2,-3.425623063
-60,7.4,-3.425956241
-60,7.6,-3.426289419
-60,7.8,-3.51399669
-60,8,-3.537284635
-60,8.2,-3.558962097
-60,8.4,-3.542478819
-60,8.6,-3.542088855
-60,8.8,-3.54169889
-60,9,-3.541308926
-60,9.2,-3.540918961
-60,9.4,-3.540528997
-60,9.6,-3.540139032
-60,9.8,-3.749453564
-60,10,-3.908227159
-60,10.2,-4.028835939
-60,10.4,-4.113819705
-60,10.6,-4.170336109
-60,10.8,-4.21809231
-60,11,-4.262885747
-60,11.2,-4.303090098
-60,11.4,-4.311766594
-60,11.6,-4.248482941
-60,11.8,-4.243337466
-60,12,-4.23819199
-60,12.2,-4.344468249
-60,12.4,-4.413339612
-60,12.6,-4.452198788
-60,12.8,-4.479582717
-60,13,-4.403233266
-60,13.2,-4.396496351
-60,13.4,-4.389759437
-60,13.6,-4.393127894
-60,13.8,-4.391443666
-60,14,-4.39228578
-60,14.2,-4.391864723
-60,14.4,-4.392075251
-60,14.6,-4.391969987
-60,14.8,-4.392022619
-60,15,-4.391996303
-60,15.2,-4.392009461
-60,15.4,-4.392002882
-60,15.6,-4.392006172
-60,15.8,-4.392004527
-60,16,-4.392005349
-60,16.2,-4.392004938
-60,16.4,-4.392005144
-60,16.6,-4.392005041
-60,16.8,-4.392005092
-60,17,-4.392005066
-60,17.2,-4.392005079
-60,17.4,-4.392005073
-60,17.6,-4.392005076
-60,17.8,-4.392005075
-60,18,-4.392005075
-60,18.2,-4.392005075
-60,18.4,-4.392005075
-60,18.6,-4.467199183
-60,18.8,-4.460830457
-60,19,-4.46401482
-60,19.2,-4.462422638
-60,19.4,-4.463218729
-60,19.6,-4.462820684
-60,19.8,-4.463019706
-60,20,-4.462920195
-60,20.2,-4.462969951
-60,20.4,-4.462945073
-60,20.6,-4.462957512
-60,20.8,-4.462951292
-60,21,-4.462954402
-60,21.2,-4.462952847
-60,21.4,-4.462953625
-60,21.6,-4.462953236
-60,21.8,-4.412682328
-60,22,-4.408555223
-60,22.2,-4.404428119
-60,22.4,-4.400301014
-60,22.6,-4.350584282
-60,22.8,-4.350615759
-60,23,-4.350647236
-60,23.2,-4.350678713
-60,23.4,-4.350662974
-60,23.6,-4.350670844
-60,23.8,-4.350666909
-60,24,-4.350668876
-60,24.2,-4.350667893
-60,24.4,-4.350668385
-60,24.6,-4.350668139
-60,24.8,-4.350668262
-60,25,-4.350668139
-60,25.2,-4.350668139
-60,25.4,-4.350668139
-60,25.6,-4.350668139
-60,25.8,-4.350668139
-60,26,-4.350668139
-60,26.2,-4.350668139
-60,26.4,-4.350668139
-60,26.6,-4.350668139
-60,26.8,-4.350668139
